Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (UTC),Year,Month,Day,Time (UTC),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 11:00,2020,2,1,11:00,-9.4,,-10.7,,91,,0,,15,,3,,,,100.82,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 12:00,2020,2,1,12:00,-10.1,,-11.2,,92,,0,,12,,3,,,,100.79,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 13:00,2020,2,1,13:00,-11.7,,-13.2,,89,,0,,,,0,,,,100.8,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 14:00,2020,2,1,14:00,-8.2,,-9.6,,90,,0,,7,,3,,,,100.75,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 15:00,2020,2,1,15:00,-7,,-8.5,,89,,0,,,,0,,,,100.69,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 16:00,2020,2,1,16:00,-5.9,,-8.1,,84,,0,,,,0,,,,100.61,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 17:00,2020,2,1,17:00,-4.4,,-7.1,,81,,0,,13,,7,,,,100.48,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 18:00,2020,2,1,18:00,-2.8,,-6.7,,75,,0,,,,0,,,,100.33,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 19:00,2020,2,1,19:00,-2.5,,-6.1,,76,,0,,17,,4,,,,100.22,,,,-4,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 20:00,2020,2,1,20:00,-2.1,,-5.9,,75,,0,,,,0,,,,100.14,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 21:00,2020,2,1,21:00,-1.4,,-6.2,,70,,0,,9,,3,,,,100.03,,,,-2,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 22:00,2020,2,1,22:00,-3.9,,-6,,85,,0,,,,0,,,,99.98,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 23:00,2020,2,1,23:00,-4.8,,-7.1,,84,,0,,7,,6,,,,99.93,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 00:00,2020,2,2,00:00,-5,,-7,,85,,0,,9,,5,,,,99.9,,,,-7,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 01:00,2020,2,2,01:00,-6.1,,-7.9,,87,,0,,5,,4,,,,99.88,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 02:00,2020,2,2,02:00,-6.8,,-7.8,,93,,0,,7,,4,,,,99.81,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 03:00,2020,2,2,03:00,-6.7,,-8.1,,89,,0,,7,,5,,,,99.73,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 04:00,2020,2,2,04:00,-6.5,,-7.8,,91,,0,,8,,4,,,,99.64,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 05:00,2020,2,2,05:00,-6.6,,-7.8,,91,,0,,34,,3,,,,99.57,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 06:00,2020,2,2,06:00,-6.6,,-8,,90,,0,,4,,5,,,,99.47,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 07:00,2020,2,2,07:00,-6.3,,-7.6,,91,,0,,5,,5,,,,99.44,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 08:00,2020,2,2,08:00,-6.3,,-7.5,,91,,0.2,,6,,4,,,,99.38,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 09:00,2020,2,2,09:00,-6.4,,-7.7,,91,,0.5,,7,,7,,,,99.29,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 10:00,2020,2,2,10:00,-6.5,,-7.7,,91,,0,,6,,5,,,,99.23,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 11:00,2020,2,2,11:00,-7,,-8.3,,91,,0,,5,,5,,,,99.2,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 12:00,2020,2,2,12:00,-6.5,,-7.8,,90,,0,,7,,5,,,,99.16,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 13:00,2020,2,2,13:00,-6.4,,-7.7,,90,,0,,5,,7,,,,99.12,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 14:00,2020,2,2,14:00,-6,,-7.3,,90,,0.2,,5,,6,,,,99.07,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 15:00,2020,2,2,15:00,-5.4,,-6.8,,90,,0.4,,7,,7,,,,99.01,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 16:00,2020,2,2,16:00,-4.7,,-6.1,,90,,0.2,,6,,7,,,,98.94,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 17:00,2020,2,2,17:00,-4.1,,-5.7,,88,,0.6,,3,,5,,,,98.83,,,,-6,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 18:00,2020,2,2,18:00,-2.9,,-5,,85,,0,,4,,5,,,,98.75,,,,-5,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 19:00,2020,2,2,19:00,-2.1,,-4.5,,84,,0,,4,,5,,,,98.69,,,,-4,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 20:00,2020,2,2,20:00,-1.5,,-4.4,,81,,0,,,,0,,,,98.7,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 21:00,2020,2,2,21:00,-1.8,,-4.3,,83,,0,,7,,4,,,,98.73,,,,-3,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 22:00,2020,2,2,22:00,-2.6,,-4.5,,86,,0,,4,,3,,,,98.74,,,,-4,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-02 23:00,2020,2,2,23:00,-3.4,,-5,,89,,0,,4,,8,,,,98.81,,,,-7,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 00:00,2020,2,3,00:00,-4.9,,-6.1,,91,,0,,5,,4,,,,98.89,,,,-7,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 01:00,2020,2,3,01:00,-4.8,,-5.4,,95,,0,,6,,6,,,,98.91,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 02:00,2020,2,3,02:00,-4.2,,-4.9,,95,,0,,5,,6,,,,98.94,,,,-7,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 03:00,2020,2,3,03:00,-4,,-4.6,,96,,0,,6,,7,,,,98.93,,,,-7,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 04:00,2020,2,3,04:00,-3.8,,-4.4,,95,,0,,5,,5,,,,98.94,,,,-6,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 05:00,2020,2,3,05:00,-3.5,,-4.3,,94,,0,,5,,7,,,,99.02,,,,-6,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 06:00,2020,2,3,06:00,-3.5,,-4.4,,93,,0,,,,0,,,,99.06,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 07:00,2020,2,3,07:00,-3.5,,-4.5,,93,,0,,,,0,,,,99.1,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 08:00,2020,2,3,08:00,-3.5,,-4.4,,93,,0,,,,0,,,,99.17,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 09:00,2020,2,3,09:00,-3.7,,-4.5,,94,,0,,,,0,,,,99.2,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 10:00,2020,2,3,10:00,-4.4,,-5.1,,95,,0,,18,,6,,,,99.29,,,,-7,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 11:00,2020,2,3,11:00,-4.5,,-5.2,,94,,0,,,,0,,,,99.37,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 12:00,2020,2,3,12:00,-4.7,,-5.3,,96,,0,,,,0,,,,99.46,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 13:00,2020,2,3,13:00,-6.5,,-7.1,,96,,0,,15,,3,,,,99.44,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 14:00,2020,2,3,14:00,-4,,-4.7,,95,,0,,22,,4,,,,99.56,,,,-6,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 15:00,2020,2,3,15:00,0.6,,-1.4,,86,,0,,23,,13,,,,99.63,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 16:00,2020,2,3,16:00,1.5,,-1.3,,82,,0,,24,,13,,,,99.65,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 17:00,2020,2,3,17:00,2.5,,-0.9,,78,,0,,22,,18,,,,99.59,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 18:00,2020,2,3,18:00,3.5,,-2.2,,66,,0,,26,,17,,,,99.64,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 19:00,2020,2,3,19:00,3.7,,-2.6,,63,,0,,26,,19,,,,99.68,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 20:00,2020,2,3,20:00,3.3,,-2.2,,67,,0,,28,,21,,,,99.81,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 21:00,2020,2,3,21:00,3.7,,-3.4,,60,,0,,28,,18,,,,99.91,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 22:00,2020,2,3,22:00,2.7,,-4.1,,61,,0,,28,,13,,,,100,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-03 23:00,2020,2,3,23:00,0.7,,-4.2,,70,,0,,29,,5,,,,100.1,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 00:00,2020,2,4,00:00,-2,,-4.8,,81,,0,,,,0,,,,100.08,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 01:00,2020,2,4,01:00,-2.7,,-5,,84,,0,,,,0,,,,100.19,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 02:00,2020,2,4,02:00,-3.6,,-5.1,,90,,0,,,,0,,,,100.16,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 03:00,2020,2,4,03:00,-4.2,,-5,,94,,0,,,,0,,,,100.17,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 04:00,2020,2,4,04:00,-4,,-4.8,,95,,0,,,,0,,,,100.12,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 05:00,2020,2,4,05:00,-4.2,,-5.4,,91,,0,,3,,4,,,,100.11,,,,-6,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 06:00,2020,2,4,06:00,-3,,-4.3,,91,,0,,,,0,,,,100.06,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 07:00,2020,2,4,07:00,-2.2,,-4.1,,87,,0,,2,,6,,,,100.04,,,,-5,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 08:00,2020,2,4,08:00,-3.5,,-5.3,,87,,0,,,,0,,,,100.02,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 09:00,2020,2,4,09:00,-5.3,,-6,,95,,0,,4,,4,,,,99.97,,,,-7,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 10:00,2020,2,4,10:00,-4.7,,-5.6,,93,,0,,,,0,,,,99.94,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 11:00,2020,2,4,11:00,-5.2,,-5.9,,95,,0,,3,,5,,,,99.91,,,,-7,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 12:00,2020,2,4,12:00,-4.5,,-5.6,,92,,0,,,,0,,,,99.97,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 13:00,2020,2,4,13:00,-2.3,,-4.7,,84,,0,,3,,7,,,,100.02,,,,-5,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 14:00,2020,2,4,14:00,-1.6,,-4.7,,79,,0,,5,,6,,,,100.02,,,,-4,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 15:00,2020,2,4,15:00,-0.3,,-5,,71,,0,,4,,3,,,,100,,,,-1,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 16:00,2020,2,4,16:00,0.6,,-4.5,,69,,0,,36,,4,,,,99.97,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 17:00,2020,2,4,17:00,1.5,,-4.3,,65,,0,,,,0,,,,99.95,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 18:00,2020,2,4,18:00,1.3,,-4.7,,64,,0,,26,,8,,,,99.85,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 19:00,2020,2,4,19:00,1.8,,-4.4,,64,,0,,25,,13,,,,99.86,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 20:00,2020,2,4,20:00,1.8,,-4.5,,63,,0,,26,,23,,,,99.9,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 21:00,2020,2,4,21:00,1.8,,-4.2,,64,,0,,28,,18,,,,99.94,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 22:00,2020,2,4,22:00,1.5,,-4.6,,64,,0,,27,,15,,,,100.02,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-04 23:00,2020,2,4,23:00,0.8,,-5.9,,61,,0,,28,,13,,,,100.08,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 00:00,2020,2,5,00:00,-0.1,,-6.5,,62,,0,,27,,9,,,,100.15,,,,-3,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 01:00,2020,2,5,01:00,-0.8,,-6.4,,66,,0,,26,,8,,,,100.16,,,,-4,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 02:00,2020,2,5,02:00,-1.7,,-6.6,,69,,0,,26,,6,,,,100.2,,,,-4,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 03:00,2020,2,5,03:00,-1.8,,-6.5,,70,,0,,26,,6,,,,100.22,,,,-4,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 04:00,2020,2,5,04:00,-2,,-6.5,,71,,0,,28,,7,,,,100.27,,,,-5,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 05:00,2020,2,5,05:00,-1.8,,-8.1,,62,,0,,31,,22,,,,100.37,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 06:00,2020,2,5,06:00,-3.1,,-8.3,,67,,0,,31,,14,,,,100.41,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 07:00,2020,2,5,07:00,-4,,-10.6,,60,,0,,30,,12,,,,100.49,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 08:00,2020,2,5,08:00,-4.6,,-10.3,,65,,0,,32,,21,,,,100.62,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 09:00,2020,2,5,09:00,-6.6,,-13,,61,,0,,33,,24,,,,100.77,,,,-14,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 10:00,2020,2,5,10:00,-8,,-14.3,,61,,0,,32,,20,,,,100.88,,,,-15,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 11:00,2020,2,5,11:00,-8.8,,-14.9,,61,,0,,33,,22,,,,101.01,,,,-17,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 12:00,2020,2,5,12:00,-9.5,,-14.6,,66,,0,,32,,18,,,,101.16,,,,-17,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 13:00,2020,2,5,13:00,-10.6,,-17.4,,57,,0,,34,,19,,,,101.26,,,,-18,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 14:00,2020,2,5,14:00,-10.6,,-17.8,,55,,0,,32,,19,,,,101.33,,,,-18,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 15:00,2020,2,5,15:00,-9.9,,-17.7,,53,,0,,35,,15,,,,101.36,,,,-17,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 16:00,2020,2,5,16:00,-9.4,,-17.7,,51,,0,,35,,14,,,,101.34,,,,-16,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 17:00,2020,2,5,17:00,-8.7,,-18,,47,,0,,35,,10,,,,101.27,,,,-14,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 18:00,2020,2,5,18:00,-8.2,,-17.3,,48,,0,,27,,6,,,,101.25,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 19:00,2020,2,5,19:00,-7.6,,-17.9,,43,,0,,25,,8,,,,101.2,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 20:00,2020,2,5,20:00,-7.2,,-16.7,,46,,0,,26,,7,,,,101.13,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 21:00,2020,2,5,21:00,-7.6,,-17,,47,,0,,25,,12,,,,101.14,,,,-13,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 22:00,2020,2,5,22:00,-8.6,,-17.1,,50,,0,,22,,5,,,,101.04,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-05 23:00,2020,2,5,23:00,-9.6,,-17,,55,,0,,18,,6,,,,101.03,,,,-13,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 00:00,2020,2,6,00:00,-9.9,,-16.4,,59,,0,,16,,6,,,,101.01,,,,-13,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 01:00,2020,2,6,01:00,-11.3,,-16.3,,66,,0,,12,,4,,,,100.96,,,,-14,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 02:00,2020,2,6,02:00,-9.3,,-16,,58,,0,,12,,6,,,,100.88,,,,-13,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 03:00,2020,2,6,03:00,-9.5,,-15.3,,63,,0,,10,,3,,,,100.76,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 04:00,2020,2,6,04:00,-8.9,,-15.4,,59,,0,,11,,6,,,,100.66,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 05:00,2020,2,6,05:00,-8.8,,-15.2,,60,,0,,10,,6,,,,100.59,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 06:00,2020,2,6,06:00,-8.7,,-15,,60,,0,,7,,7,,,,100.48,,,,-13,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 07:00,2020,2,6,07:00,-9.1,,-14.3,,66,,0,,6,,6,,,,100.49,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 08:00,2020,2,6,08:00,-8.9,,-14.7,,63,,0,,5,,10,,,,100.36,,,,-14,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 09:00,2020,2,6,09:00,-9,,-14.7,,63,,0,,8,,6,,,,100.39,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 10:00,2020,2,6,10:00,-9.1,,-13.9,,68,,0,,3,,11,,,,100.28,,,,-15,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 11:00,2020,2,6,11:00,-9.7,,-12.6,,79,,0.2,,5,,11,,,,100.13,,,,-15,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 12:00,2020,2,6,12:00,-9.6,,-12.1,,82,,0,,5,,12,,,,100.09,,,,-15,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 13:00,2020,2,6,13:00,-9.5,,-12.1,,82,,0.2,,5,,11,,,,100.09,,,,-15,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 14:00,2020,2,6,14:00,-9.1,,-11.2,,85,,0.2,,4,,18,,,,99.97,,,,-16,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 15:00,2020,2,6,15:00,-8.5,,-10.9,,83,,0,,3,,14,,,,99.88,,,,-15,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 16:00,2020,2,6,16:00,-8,,-10.9,,79,,0.4,,4,,17,,,,99.8,,,,-15,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 17:00,2020,2,6,17:00,-7.2,,-10.2,,79,,0,,2,,15,,,,99.74,,,,-13,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 18:00,2020,2,6,18:00,-5.8,,-9.1,,78,,0,,2,,17,,,,99.61,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 19:00,2020,2,6,19:00,-5.7,,-8,,84,,0.5,,3,,15,,,,99.52,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 20:00,2020,2,6,20:00,-5.3,,-8.3,,80,,0,,3,,17,,,,99.44,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 21:00,2020,2,6,21:00,-4.9,,-8,,79,,0,,4,,14,,,,99.39,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 22:00,2020,2,6,22:00,-4.8,,-7.9,,79,,0,,4,,12,,,,99.41,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-06 23:00,2020,2,6,23:00,-4.8,,-8,,79,,0,,4,,12,,,,99.36,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 00:00,2020,2,7,00:00,-5.3,,-7,,88,,0.2,,3,,13,,,,99.24,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 01:00,2020,2,7,01:00,-5.2,,-7.1,,86,,0,,3,,14,,,,99.19,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 02:00,2020,2,7,02:00,-4.8,,-7.2,,83,,0,,2,,12,,,,99.2,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 03:00,2020,2,7,03:00,-5,,-6.6,,88,,0.2,,1,,11,,,,99.09,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 04:00,2020,2,7,04:00,-5.1,,-6.5,,90,,0.2,,2,,15,,,,98.94,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 05:00,2020,2,7,05:00,-5.3,,-6.3,,93,,1.2,,1,,17,,,,98.94,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 06:00,2020,2,7,06:00,-5.3,,-6.3,,93,,1.4,,35,,14,,,,98.86,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 07:00,2020,2,7,07:00,-5.3,,-6.2,,93,,2,,1,,13,,,,98.8,,,,-10,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 08:00,2020,2,7,08:00,-5.4,,-6.5,,92,,0.9,,2,,18,,,,98.71,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 09:00,2020,2,7,09:00,-5.6,,-6.6,,93,,0.9,,1,,16,,,,98.61,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 10:00,2020,2,7,10:00,-5.7,,-6.8,,92,,0.9,,36,,15,,,,98.63,,,,-11,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 11:00,2020,2,7,11:00,-5.8,,-7,,91,,0.8,,1,,16,,,,98.54,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 12:00,2020,2,7,12:00,-5.9,,-7.4,,89,,0.3,,2,,19,,,,98.44,,,,-13,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 13:00,2020,2,7,13:00,-5.8,,-7.9,,85,,0,,1,,19,,,,98.32,,,,-12,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-07 14:00,2020,2,7,14:00,-5.8,,-8.4,,82,,0,,36,,20,,,,98.31,,,,-13,,
